Route,Year,sampled,Date,lek_num,route_leknum,count,real,pct_crp_est,pct_grass_est
3,2005,1,4/8/05,135,3.135,0,TRUE,4.175599913,92.36766375
3,2005,1,4/8/05,167,3.167,6,TRUE,3.715209317,89.91127516
3,2005,1,4/14/05,129,3.129,0,TRUE,4.830574533,87.69659315
3,2005,1,4/14/05,135,3.135,0,TRUE,4.175599913,92.36766375
3,2005,1,4/14/05,167,3.167,9,TRUE,3.715209317,89.91127516
3,2006,1,4/4/06,129,3.129,0,TRUE,5.715530286,87.85478472
3,2006,1,4/4/06,135,3.135,0,TRUE,4.835991332,92.70703156
3,2006,1,4/4/06,167,3.167,8,TRUE,4.049933514,90.20129304
3,2006,1,4/9/06,129,3.129,0,TRUE,5.715530286,87.85478472
3,2006,1,4/9/06,135,3.135,0,TRUE,4.835991332,92.70703156
3,2006,1,4/9/06,167,3.167,11,TRUE,4.049933514,90.20129304
3,2007,1,1/1/07,129,3.129,0,TRUE,6.27149342,87.7367142
3,2007,1,1/1/07,135,3.135,0,TRUE,5.261347611,92.5683035
3,2007,1,1/1/07,167,3.167,0,TRUE,4.539410335,90.04768673
3,2008,1,1/1/08,129,3.129,0,TRUE,6.39529552,87.72295841
3,2008,1,1/1/08,135,3.135,0,TRUE,5.439057108,92.6393873
3,2008,1,1/1/08,167,3.167,0,TRUE,4.787014535,90.08436884
3,2009,1,1/1/09,129,3.129,0,TRUE,6.473244991,87.60488789
3,2009,1,1/1/09,135,3.135,0,TRUE,5.498675778,92.46167781
3,2009,1,1/1/09,167,3.167,0,TRUE,5.070154523,89.93649411
3,2010,1,1/1/10,129,3.129,0,TRUE,6.639460773,87.76078683
3,2010,1,1/1/10,135,3.135,0,TRUE,5.520459522,92.59925935
3,2010,1,1/1/10,167,3.167,0,TRUE,5.15727452,90.05685726
3,2011,1,1/1/11,129,3.129,0,TRUE,6.70480077,87.93731946
3,2011,1,1/1/11,135,3.135,0,TRUE,5.55141537,92.75633162
3,2011,1,1/1/11,167,3.167,0,TRUE,5.21115136,90.17263515
3,2012,1,1/1/12,129,3.129,0,TRUE,6.719702875,88.07029208
3,2012,1,1/1/12,135,3.135,0,TRUE,5.573199115,92.7368409
3,2012,1,1/1/12,167,3.167,0,TRUE,5.364757669,90.15658673
3,2013,1,1/1/13,129,3.129,0,TRUE,6.702508139,88.00265945
3,2013,1,1/1/13,135,3.135,0,TRUE,5.533071164,92.72308274
3,2013,1,1/1/13,167,3.167,0,TRUE,5.326929249,90.0889541
3,2014,1,1/1/14,129,3.129,0,TRUE,6.707093402,87.95566051
3,2014,1,1/1/14,135,3.135,0,TRUE,5.523899061,92.66002454
3,2014,1,1/1/14,167,3.167,0,TRUE,5.329221881,89.98463937
